id	father	mother	sex	population
1	0	0	M	founder1
2	0	0	F	founder1
3	0	0	M	founder1
4	0	0	F	founder1
5	0	0	M	founder1
6	0	0	F	founder1
7	0	0	M	founder1
8	0	0	F	founder1
9	0	0	M	founder1
10	0	0	F	founder1
11	0	0	M	founder2
12	0	0	F	founder2
13	0	0	M	founder2
14	0	0	F	founder2
15	0	0	M	founder2
16	0	0	F	founder2
17	0	0	M	founder2
18	0	0	F	founder2
19	0	0	M	founder2
20	0	0	F	founder2
21	9	14	M	F1
22	9	14	F	F1
23	9	14	M	F1
24	9	14	F	F1
25	9	14	M	F1
26	9	14	F	F1
27	9	14	M	F1
28	9	14	F	F1
29	9	14	M	F1
30	9	14	F	F1
31	1	12	M	F1
32	1	12	F	F1
33	1	12	M	F1
34	1	12	F	F1
35	1	12	M	F1
36	1	12	F	F1
37	1	12	M	F1
38	1	12	F	F1
39	1	12	M	F1
40	1	12	F	F1
41	7	18	M	F1
42	7	18	F	F1
43	7	18	M	F1
44	7	18	F	F1
45	7	18	M	F1
46	7	18	F	F1
47	7	18	M	F1
48	7	18	F	F1
49	7	18	M	F1
50	7	18	F	F1
51	3	20	M	F1
52	3	20	F	F1
53	3	20	M	F1
54	3	20	F	F1
55	3	20	M	F1
56	3	20	F	F1
57	3	20	M	F1
58	3	20	F	F1
59	3	20	M	F1
60	3	20	F	F1
61	5	16	M	F1
62	5	16	F	F1
63	5	16	M	F1
64	5	16	F	F1
65	5	16	M	F1
66	5	16	F	F1
67	5	16	M	F1
68	5	16	F	F1
69	5	16	M	F1
70	5	16	F	F1
71	1	14	M	F1
72	1	14	F	F1
73	1	14	M	F1
74	1	14	F	F1
75	1	14	M	F1
76	1	14	F	F1
77	1	14	M	F1
78	1	14	F	F1
79	1	14	M	F1
80	1	14	F	F1
81	7	12	M	F1
82	7	12	F	F1
83	7	12	M	F1
84	7	12	F	F1
85	7	12	M	F1
86	7	12	F	F1
87	7	12	M	F1
88	7	12	F	F1
89	7	12	M	F1
90	7	12	F	F1
91	3	18	M	F1
92	3	18	F	F1
93	3	18	M	F1
94	3	18	F	F1
95	3	18	M	F1
96	3	18	F	F1
97	3	18	M	F1
98	3	18	F	F1
99	3	18	M	F1
100	3	18	F	F1
101	5	20	M	F1
102	5	20	F	F1
103	5	20	M	F1
104	5	20	F	F1
105	5	20	M	F1
106	5	20	F	F1
107	5	20	M	F1
108	5	20	F	F1
109	5	20	M	F1
110	5	20	F	F1
111	9	16	M	F1
112	9	16	F	F1
113	9	16	M	F1
114	9	16	F	F1
115	9	16	M	F1
116	9	16	F	F1
