id	trait	sex
1	NA	M
2	NA	F
3	NA	M
4	NA	F
5	NA	M
6	NA	F
7	NA	M
8	NA	F
9	NA	M
10	NA	F
11	NA	M
12	NA	F
13	NA	M
14	NA	F
15	NA	M
16	NA	F
17	NA	M
18	NA	F
19	NA	M
20	NA	F
21	NA	M
22	NA	F
23	NA	M
24	NA	F
25	NA	M
26	NA	F
27	NA	M
28	NA	F
29	NA	M
30	NA	F
31	NA	M
32	NA	F
33	NA	M
34	NA	F
35	NA	M
36	NA	F
37	NA	M
38	NA	F
39	NA	M
40	NA	F
41	NA	M
42	NA	F
43	NA	M
44	NA	F
45	NA	M
46	NA	F
47	NA	M
48	NA	F
49	NA	M
50	NA	F
51	NA	M
52	NA	F
53	NA	M
54	NA	F
55	NA	M
56	NA	F
57	NA	M
58	NA	F
59	NA	M
60	NA	F
61	NA	M
62	NA	F
63	NA	M
64	NA	F
65	NA	M
66	NA	F
67	NA	M
68	NA	F
69	NA	M
70	NA	F
71	NA	M
72	NA	F
73	NA	M
74	NA	F
75	NA	M
76	NA	F
77	NA	M
78	NA	F
79	NA	M
80	NA	F
81	NA	M
82	NA	F
83	NA	M
84	NA	F
85	NA	M
86	NA	F
87	NA	M
88	NA	F
89	NA	M
90	NA	F
91	NA	M
92	NA	F
93	NA	M
94	NA	F
95	NA	M
96	NA	F
97	NA	M
98	NA	F
99	NA	M
100	NA	F
101	NA	M
102	NA	F
103	NA	M
104	NA	F
105	NA	M
106	NA	F
107	NA	M
108	NA	F
109	NA	M
110	NA	F
111	NA	M
112	NA	F
113	NA	M
114	NA	F
115	NA	M
116	NA	F
117	NA	M
118	NA	F
119	NA	M
120	NA	F
121	NA	M
122	NA	F
123	NA	M
124	NA	F
125	NA	M
126	NA	F
127	NA	M
128	NA	F
129	NA	M
130	NA	F
131	NA	M
132	NA	F
133	NA	M
134	NA	F
135	NA	M
136	NA	F
137	NA	M
138	NA	F
139	NA	M
140	NA	F
141	NA	M
142	NA	F
143	NA	M
144	NA	F
145	NA	M
146	NA	F
147	NA	M
148	NA	F
149	NA	M
150	NA	F
151	NA	M
152	NA	F
153	NA	M
154	NA	F
155	NA	M
156	NA	F
157	NA	M
158	NA	F
159	NA	M
160	NA	F
161	NA	M
162	NA	F
163	NA	M
164	NA	F
165	NA	M
166	NA	F
167	NA	M
168	NA	F
169	NA	M
170	NA	F
171	NA	M
172	NA	F
173	NA	M
174	NA	F
175	NA	M
176	NA	F
177	NA	M
178	NA	F
179	NA	M
180	NA	F
181	NA	M
182	NA	F
183	NA	M
184	NA	F
185	NA	M
186	NA	F
187	NA	M
188	NA	F
189	NA	M
190	NA	F
191	NA	M
192	NA	F
193	NA	M
194	NA	F
195	NA	M
196	NA	F
197	NA	M
198	NA	F
199	NA	M
200	NA	F
201	NA	M
202	NA	F
203	NA	M
204	NA	F
205	NA	M
206	NA	F
207	NA	M
208	NA	F
209	NA	M
210	NA	F
211	NA	M
212	NA	F
213	NA	M
214	NA	F
215	NA	M
216	NA	F
217	NA	M
218	NA	F
219	NA	M
220	NA	F
221	5.69036020079176	M
222	0.933340719168223	F
223	4.50586350365081	M
224	-1.68840047605807	F
225	4.6476690425884	M
226	0.505135436122447	F
227	5.00376871684585	M
228	1.03544747283722	F
229	3.33907355220355	M
230	-1.21169174356437	F
231	4.0135908133105	M
232	-0.0820845390716304	F
233	4.63486781609391	M
234	0.555705608789188	F
235	6.36908787044356	M
236	1.38842139799891	F
237	6.68476210391466	M
238	1.60997920691639	F
239	4.14154509672667	M
240	0.22600426098011	F
241	5.74072562550611	M
242	-1.03933116671579	F
243	4.82593478832567	M
244	-1.33454454122436	F
245	4.38469196467749	M
246	0.929433883552484	F
247	2.95808840233634	M
248	-1.52452355004423	F
249	2.6361175712548	M
250	0.383787805047678	F
251	4.69209057939408	M
252	-2.31821140606414	F
253	2.94504583692337	M
254	0.219969230444311	F
255	3.80866481580045	M
256	-3.36061189269672	F
257	4.33078682132761	M
258	0.258865049506406	F
259	4.62620140953931	M
260	0.081946311444115	F
261	4.82347447682154	M
262	1.95326300351142	F
263	6.37771509144239	M
264	0.517601584007301	F
265	5.87208035589213	M
266	1.81322922959864	F
267	4.84897631399691	M
268	0.378642944424369	F
269	7.3861640739095	M
270	-0.0923827099776485	F
271	6.30328411182763	M
272	-0.178703210296138	F
273	4.54929437735334	M
274	-0.312323483675449	F
275	6.06627025870369	M
276	0.125643884818382	F
277	7.11928371681108	M
278	3.34794362590395	F
279	7.79525639713819	M
280	0.24835090433392	F
281	7.6930948795013	M
282	0.893309443522343	F
283	3.90171026111344	M
284	-1.20208107907873	F
285	4.09624137957561	M
286	-0.227401281904792	F
287	4.83953161550293	M
288	-2.16272078946374	F
289	4.38497722612271	M
290	0.0967353281379167	F
291	5.78979778891229	M
292	0.0682499779120668	F
293	5.13356533898684	M
294	-0.562008171147653	F
295	4.44746363651418	M
296	0.353627661945533	F
297	3.96371259636505	M
298	-0.664948025874088	F
299	5.57106725320456	M
300	-1.44520484211944	F
301	3.64107794877025	M
302	0.836941497564581	F
303	6.36163085424741	M
304	-1.27748295587194	F
305	6.37411692049682	M
306	2.98228556490629	F
307	4.1291775803475	M
308	-0.170594764048601	F
309	5.38386590313437	M
310	-0.155080576726773	F
311	3.09077690547461	M
312	0.707015599777699	F
313	5.14896239226423	M
314	-1.91401573372085	F
315	5.68882912452937	M
316	-0.082119615694956	F
317	5.65650478329714	M
318	0.485354588500995	F
319	5.9446346330935	M
320	-0.541999176975282	F
321	4.0717565029941	M
322	0.321602615155616	F
323	5.65512600991788	M
324	0.0820161529649865	F
325	5.7938754222981	M
326	1.29403455562465	F
327	5.26621110952159	M
328	-0.28793133764961	F
329	5.26872125212036	M
330	0.885177914106792	F
331	4.04691748635902	M
332	-0.253991732954443	F
333	3.58757169040456	M
334	-1.81352841658044	F
335	3.00891884266891	M
336	0.177914990576087	F
337	3.20929116570389	M
338	-0.370442011674322	F
339	4.4003826430134	M
340	2.36529275299807	F
341	3.15227598532536	M
342	-1.25711928506463	F
343	6.16770165751251	M
344	0.340206717547656	F
345	3.60655320211969	M
346	-1.26045327096237	F
347	4.81430496759618	M
348	1.94111023973522	F
349	3.40836771681677	M
350	-1.69515540293546	F
351	5.68877692268739	M
352	0.364422432038074	F
353	6.06300486828736	M
354	-0.759011821867878	F
355	5.22710338480664	M
356	0.603715530181811	F
357	4.55182162494363	M
358	0.73798544123731	F
359	5.25654975880492	M
360	2.45249319651137	F
361	4.59438842451734	M
362	0.702012141443497	F
363	4.10569768409716	M
364	3.0563888406213	F
365	5.78398325536404	M
366	0.689636435048471	F
367	3.82687162535243	M
368	-0.90860613787219	F
369	4.19546445546383	M
370	-0.0193973768887901	F
371	5.91594025218672	M
372	0.0382036419679489	F
373	5.22788789967307	M
374	2.23078924145867	F
375	3.69284511184855	M
376	1.23503415322871	F
377	5.38564069181002	M
378	0.547218496140017	F
379	4.36230707187126	M
380	-0.156332352171126	F
381	5.01400810964856	M
382	-0.804321607733183	F
383	6.74867212807595	M
384	1.06221420541027	F
385	3.90868604284902	M
386	-1.3367877743987	F
387	4.37112171326465	M
388	0.252361909341992	F
389	4.06788313988342	M
390	-0.933794008955278	F
391	3.73252020890567	M
392	-0.810191293054937	F
393	6.89151276671888	M
394	1.35180916692841	F
395	5.91288964016258	M
396	-2.66520168567033	F
397	6.71383297231909	M
398	0.405324260288252	F
399	5.96733220826681	M
400	-0.252344847319423	F
401	6.10299781208757	M
402	0.204595166924476	F
403	4.83485734129182	M
404	-0.770613618620707	F
405	4.36850843776689	M
406	1.97100369667873	F
407	6.67231931680608	M
408	1.04329619327899	F
409	4.98182797904632	M
410	-0.624196057298334	F
411	5.7528298142411	M
412	0.874700383407445	F
413	5.37119380571561	M
414	-1.40327232977174	F
415	4.97230187578575	M
416	0.554185879655353	F
417	3.80130071476053	M
418	-0.210876394839048	F
419	3.52110624131237	M
420	0.77208627541072	F
421	3.89457219035177	M
422	2.45219844700552	F
423	5.49579378719212	M
424	-0.654934068066698	F
425	3.97429995523642	M
426	-0.404816875770012	F
427	4.15758516220955	M
428	-0.139578995058003	F
429	3.91229008392113	M
430	-2.21758395983422	F
431	4.48883117069549	M
